,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
200,2024-07-17,-0.082416973809745,0.0286908055038233,-0.0254224176423147,0,AVGO,0.0,0.0286908055038233,0,-0.0
201,2024-07-18,0.0286908055038233,-0.0199459097152556,0.031338086207494,0,AVGO,-0.0199459097152556,0.0,1,0.0
202,2024-07-19,-0.0199459097152556,0.0233042889091962,-0.0238454306469743,0,AVGO,0.0,0.0233042889091962,0,-0.0199459097152556
203,2024-07-22,0.0233042889091962,0.0166860793409199,0.0317768074901157,0,AVGO,0.0166860793409199,0.0166860793409199,1,0.0
204,2024-07-23,0.0166860793409199,-0.0789340934814732,0.025023819913667,0,AVGO,-0.0789340934814732,0.0,1,0.0166860793409199
205,2024-07-24,-0.0789340934814732,-0.0138392221678933,-0.0254224176423147,0,AVGO,0.0,0.0,0,-0.0789340934814732
206,2024-07-25,-0.0138392221678933,0.0157536601144133,-0.0176063073712197,0,AVGO,0.0,0.0157536601144133,0,-0.0
207,2024-07-26,0.0157536601144133,-0.0093424806310323,0.02139734709267,0,AVGO,-0.0093424806310323,0.0,1,0.0
208,2024-07-29,-0.0093424806310323,-0.0456264663043847,-0.0092789186487246,0,AVGO,0.0,0.0,0,-0.0093424806310323
209,2024-07-30,-0.0456264663043847,0.1129403358288559,-0.0250049935399945,0,AVGO,0.0,0.1129403358288559,0,-0.0
